mpa_name,n_total,n_dark,n_cooperative,n_unknown,dark_ratio,area_km2,dark_density_per_km2_per_pass
Isole Tremiti,7,4,0,3,1.0,3140.327301908784,0.0012737525790922116
Aloisa - Carapelle,1,0,0,1,0.0,32.72991382264568,0.0
